ID,Text,Comment
KnatteTobbert.MetalStaircase.DisplayName,"Металлическая лестница",-
KnatteTobbert.MetalStaircase.Description,"Улучшенная лестница из металла.",-
KnatteTobbert.MetalStaircase.FlavorDiscription,"Надеюсь она из нержавейки.",-

KnatteTobbert.Staircases.DisplayName,"Лестницы",-
KnatteTobbert.Platforms.DisplayName,Platforms,-

KnatteTobbert.MetalStaircaseNeed.DisplaynameLocKey,"Металлическая лестница",-

KnatteTobbert.SpiralStaircase.DisplayName,Spiral Staircase Right,Untranslated
KnatteTobbert.SpiralStaircase.FlavorDiscription,"""Stairway to heaven"" - Stone Cold Jane Austen",Untranslated

KnatteTobbert.StaircaseLog.DisplayName,"винтовая лестница",-
KnatteTobbert.StaircaseLog.FlavorDiscription,"По легенде, именно такое бревно для центральной опоры помогал нести на субботнике сам Дедушка Казко",-





KnatteTobbert.StaircaseRight.DisplayName,"Правая винтовая лестница",-
KnatteTobbert.StaircaseRight.Description,"Винтовая лестница с правым направлением\r\n(по часовой стрелке).",-
KnatteTobbert.StaircaseRight.FlavorDiscription,"По легенде, именно такое бревно для центральной опоры помогал нести на субботнике сам Дедушка Казко",-

KnatteTobbert.StaircaseLeft.DisplayName,"Левая винтовая лестница",-
KnatteTobbert.StaircaseLeft.Description,"Винтовая лестница с левым направлением\r\n(против часовой стрелки).",-
KnatteTobbert.StaircaseLeft.FlavorDiscription,"По легенде, именно такое бревно для центральной опоры помогал нести на субботнике сам Дедушка Казко",-



KnatteTobbert.SpiralStaircaseLeft.DisplayName,Spiral Staircase Left,Untranslated
KnatteTobbert.SpiralStaircaseRight.DisplayName,Spiral Staircase Right,Untranslated

KnatteTobbert.SpiralStaircaseLeft.FlavorDiscription,"""Stairway to heaven"" - Stone Cold Jane Austen",Untranslated
KnatteTobbert.SpiralStaircaseRight.FlavorDiscription,"""Stairway to heaven"" - Stone Cold Jane Austen",Untranslated
